status,changed,rank,name,website,categories,review_categories,confidence,evidence_snippet,note
"needs_review","no_rentals→needs_review","236","Tahoe Bliss Boat Charters","https://tahoeblissboatcharters.com/","","","low","Named 'Boat Charters' (captained) but site is branded 'Lake Tahoe Boat Rentals' with heavy rental content — confirm bareboat rental vs. captained charter.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","240","The Tahoe Experience","http://thetahoeexperience.com/","","","low","Nav includes 'Bareboat Charter' though marketed as captained pontoon tours — confirm bareboat rental option.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","258","Truckee Watersports","https://www.truckeewatersports.com/","","","low","Boats priced per hour ($200-250/hr, 'Boats/Gears') under a 'Watersports Academy' — confirm bareboat rental vs. captained lessons.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","280","Sky Tavern Ski Area","http://www.skytavern.com/","","snow_sports;mountain_biking","low","ski_resort tourist_attraction sports_activity_location point_of_interest establishment https://www.skytavern.org/ Sky Tavern - Reno Tahoe's Learn to Ski & Ride Nonprofit 0 Skip to Content SNOW Learn to Ski and Ride Team Programs Ski Patroller Ski Swap Bus Tickets FAQ Uphill Policy Winter Trail Map Volunteer Opportunity BIKE Mountain Bike Park Memberships & Shuttle Riders in the Sky Skills Clinics Women's MTB Camp MAY","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","triaged→needs_review","300","Northstar Village Ice Skating Rink","http://m.northstarcalifornia.com/things-to-do.html?page=viewall","","","low","Ice-skating rink at Northstar; fetched page conflates the rink (skate rental) with Northstar resort's ski/snowboard/bike rental shop — confirm which rentals belong to this listing.","Patch: mechanically auto-triaged; evidence ambiguous — browse live."
"needs_review","no_rentals→needs_review","314","The Bike Smith","https://www.facebook.com/thebikesmithcc/","","","low","Facebook-only, unreachable; bike shop + repair that plausibly rents — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","triaged→needs_review","349","High Desert Camping Co","http://www.highdesertcampingco.com/","","","low","'Glamping Tent Rentals / pop-up accommodations' for weddings, festivals and private events — a set-up lodging/event service, not take-away camping gear. Confirm whether this counts as camping.","Patch: auto-triaged as camping; glamping/event tent setup is borderline — browse live / product call."
"needs_review","no_rentals→needs_review","385","Tahoe Blue Adventures","","","","low","No website fetched; adventure operator that plausibly rents — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","triaged→needs_review","387","Cabin Fever","https://tahoe.com/south-lake-tahoe/cabin-fever","","","low","A tahoe.com directory listing ('Cabin Fever') with no real page content; the four categories came from the directory nav — confirm what this business is.","Patch: mechanically auto-triaged; evidence ambiguous — browse live."
"needs_review","","390","Hope Valley Outdoors","","","","low","Hope Valley Outdoors Hope Valley Outdoors Hope Valley Outdoors camping_cabin tourist_attraction lodging point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","397","Cross Country Center","https://www.kirkwood.com/explore-the-resort/activities-and-events/cross-country.aspx","","","low","Kirkwood cross-country center; fetch returned only a queue-redirect page. XC centers commonly rent nordic gear — browse live.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","402","Playa E-bike Rentals","","","road_cycling;electric_transport","low","Playa E-bike Rentals Playa E-bike Rentals Playa E-bike Rentals service establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","403","South Shore Boats & Powersports","http://www.sshoreboats.com/","","","low","Only 'Boat Repair' title fetched; boat/powersports dealer that may also rent — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","405","Bearry Sweet","https://bearrysweet.com/","","","low","Order Start Build your own dreams Or someone else will hire you to build theirs.","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","408","Mountain Cat","http://www.mountaincatshop.com/","","","low","Only title fetched ('Snowboards, Boots, Bindings, Outerwear'); snowboard shop that plausibly rents — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","417","Tahoe Yacht Cruises","http://www.tahoeyachtcruises.com/","","","low","Reservations page offers '$550/hr — Bareboat Charter, does not include Captain's Fees' — bareboat implies rental; confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","429","Slant Skis","http://www.slantskis.com/","","snow_sports","low","Slant Skis http://www.slantskis.com/ Slant Skis Slant Skis manufacturer point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","","436","Bijou Bike Park","https://tamba.org/projects/bijou-bike-park/","","snow_sports;mountain_biking;electric_transport","low","Bijou Bike Park https://tamba.org/projects/bijou-bike-park/ Bijou Bike Park Bijou Bike Park park point_of_interest establishment https://tamba.org/projects/bijou-bike-park/ Bijou Bike Park - TAMBA Skip to main content Hit enter to search or ESC to close Close Search Menu About History and Mission Board and Leadership Annual Reporting Strategic Plan 2020-2025 Sponsors Get In Touch Careers Trails Trails Tahoe Trail Con","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","446","Everline Sports","https://www.hyatt.com/en-US/hotel/california/everline-resort-and-spa/rnodh","","","low","Hyatt/Everline resort sports desk (unreachable); resort activity desks commonly rent bikes/skis — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","453","Viking Ski Club","https://sfvikingskiclub.org/","","snow_sports","low","Viking Ski Club https://sfvikingskiclub.org/ Viking Ski Club Viking Ski Club camping_cabin lodging point_of_interest establishment https://sfvikingskiclub.org/ Viking Ski Club Viking Ski Club Home About VSC Our Cabin Become a Member Events Contact Us Weather Viking Swag Members Corner Home About VSC Our Cabin Become a Member Events Contact Us Weather Viking Swag Members Corner Welcome to the Viking Ski & Outdoor Club","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","471","Tahoe Yacht Charters","https://www.tahoeyachtcharters.com/","","","low","Self-describes as 'Premier Yacht Charter rental business' with /rentals, /rental, /rent pages — confirm bareboat rental vs. captained charter.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","474","Tallac Boat Rentals","","","water_sports","low","Tallac Boat Rentals Tallac Boat Rentals Tallac Boat Rentals point_of_interest service establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","476","tahoe skibikes","","","","low","No website fetched; 'ski bikes' implies snow-bike rental — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","477","Stagecoach lodge ski rental","","","snow_sports","low","Stagecoach lodge ski rental Stagecoach lodge ski rental Stagecoach lodge ski rental point_of_interest service establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","492","Mt. Rose - Ski Tahoe","","","","low","No page fetched; ski resort — confirm whether the resort rental shop should be captured.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","498","Carson City Centennial Park Archery Range","http://www.clearcreekbowmen.com/","","snow_sports","low","Perfect for all skill levels.","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","504","Lake & Wake Adventures","","","","low","No website fetched; wake/water adventures name implies rental — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","505","Five Dot Ranch Fly Fishing","http://fivedotflyfishing.com/?page_id=246","","water_sports","low","400-Acre Private Catch & Release Trout Fishery Located 17 Miles North of Susanville, CA Five Dot Fly Fishing Club | Premier Private Trout Fishery Five Dot Fly Fishing Club is situated on one of California's largest private stillwater fisheries; Round Valley Reservoir.","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","","507","Donner Summit SNO-Park","http://ohv.parks.ca.gov/?page_id=23055","","snow_sports;off_road;electric_transport","low","park tourist_attraction point_of_interest establishment https://ohv.parks.ca.gov/?page_id=23053 Hope Valley About Us Contact Us Parks Home OHV Home About Us Mission Statement FAQs Planning Publications / Reports Winter Recreation Contact Information OHV Safety Week SVRAs Carnegie SVRA Clay Pit SVRA Eastern Kern County Onyx Ranch SVRA Heber Dunes SVRA Hollister Hills SVRA Hungry Valley SVRA Oceano Dunes SVRA Ocotillo","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","","510","Blackwood Canyon SNO-PARK","http://ohv.parks.ca.gov/?page_id=23061","","snow_sports;off_road;electric_transport","low","park tourist_attraction point_of_interest establishment https://ohv.parks.ca.gov/?page_id=23053 Hope Valley About Us Contact Us Parks Home OHV Home About Us Mission Statement FAQs Planning Publications / Reports Winter Recreation Contact Information OHV Safety Week SVRAs Carnegie SVRA Clay Pit SVRA Eastern Kern County Onyx Ranch SVRA Heber Dunes SVRA Hollister Hills SVRA Hungry Valley SVRA Oceano Dunes SVRA Ocotillo","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","","513","Adventure Mountain Lake Tahoe","","","","low","Adventure Mountain Lake Tahoe cafe food point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","514","Diamond Peak Ski Resort","","","","low","No page fetched; ski resort — confirm whether the resort rental shop should be captured.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"triaged","","1","Worldwide Cyclery","https://www.worldwidecyclery.com/","mountain_biking","","high","The footer links to Demo Bike Program. That page says the Reno, NV location has boutique bikes available to demo, lists demo rates, and lists bikes currently available for demo in NV.","Confirmed paid mountain-bike demo program, not just retail sales. Demo qualifies as positive acquisition evidence under Pass A. Treat as mountain_biking; do not create a demo category."
"triaged","","2","Action Watersports at Lakeside Marina","http://www.action-watersports.com/","water_sports","","high","The site offers boat rentals, jet ski rentals, and kayak/SUP/pedal boat rentals, with Lakeside Marina rental pages and prices.","All confirmed rentals are water-sports equipment."
"triaged","","3","Action Watersports at Timber Cove Marina","http://www.action-watersports.com/","water_sports","","high","Action Watersports lists boat, jet ski, kayak, SUP, pedal boat, and related water-toy rentals with bookable rental pages.","Site says Timber Cove is no longer operating, but the operator itself is a confirmed water-sports renter."
"triaged","","4","Adrift Tahoe","http://www.standuppaddletahoe.com/","water_sports","","high","The rental page lists hourly and daily rates for stand-up paddle boards, kayaks, canoes, OC1s, and large Ride XL boards.","Confirmed paddle-sports rental outfitter."
"triaged","","5","Adventure Lake Tahoe","http://adventureslaketahoe.com/","water_sports;snow_sports","off_road;electric_transport;fishing","medium","The home page says Electric Hydrofoil has lessons and rentals and lists Snow Bike Rental and Tour. ATV, e-bike, and kayak-fishing signals look more like guided experiences in the fetched text.","Confirmed eFoil and snow-bike rental signals; other activity types need Pass B/review confirmation."
"triaged","","6","Adventure Scuba Center","http://www.renoscuba.com/","water_sports","","high","The rental-rates page lists scuba equipment rentals including tanks, wetsuits, fins, BCD, regulator setup, drysuit, dive flag, weights, and a daily rental gear set.","Scuba rental equipment mapped to water_sports."
"triaged","","9","Anderson's Bicycle Rental","http://www.andersonsbicyclerental.com/","mountain_biking;road_cycling;electric_transport","","medium","The business is a bicycle-rental outlet and the fetched/Google evidence describes bike rentals and e-bikes off the trail.","Bike type mix includes e-bikes; trail/path use supports mountain_biking and road_cycling recall."
"triaged","no_rentals→triaged","10","Another Bike Shop Reno","https://www.anotherbikeshop.com/","mountain_biking;electric_transport","","high","Rentals page + homepage 'RENTALS AND ROUTES — Open now in both locations, make your reservations online' and 'well-maintained E-MTB's ready for you to rent.'","Patch: recovered from full cache; original run under-read available rental page(s)."
"triaged","","11","Baldwin Beach Kayak Tahoe","http://kayaktahoe.com/","water_sports","","high","Kayak Tahoe lists kayak and stand-up paddleboard rental rates for single kayaks, double kayaks, and paddleboards.","Confirmed water-sports rental location."
"triaged","","12","Battle Born Boat Rentals","https://boattahoe.com/","water_sports","","medium","The operator name and site evidence identify a boat-rental business for Lake Tahoe.","Confirmed boat-rental operator from fetched evidence."
"triaged","","13","Battle Born Powersports","http://www.battlebornpowersports.com/","off_road","","medium","Google/fetched evidence describes an ATV rental shop offering Polaris RZRs for customers to explore open land and trails.","ATV/Polaris RZR rentals map to off_road."
"triaged","","15","Big Blue Bike Rentals and Tours","http://bigbluebikerentals.com/","mountain_biking;road_cycling;electric_transport","","medium","The operator is a bicycle rental shop offering self-guided rides/tours on the East Shore Bike Path and Flume Trail, including e-bike rental signals.","Self-guided bike rentals; include path/trail and e-bike categories for recall."
"triaged","no_rentals→triaged","16","Big Daddy's Bike & Brew","https://www.bigdaddysbikeandbrew.com/","snow_sports","mountain_biking;road_cycling","high","Homepage: 'Big Daddy's offers season as well as daily ski and snowboard rentals and demos! Skis, boards, boots, poles...the works.' Bike rental not confirmed (bike shop) → review.","Patch: recovered from full cache; original run under-read available rental page(s)."
"triaged","","17","Bike Truckee","https://www.truckeebikerentals.com/","road_cycling;electric_transport","mountain_biking","medium","The site/operator evidence describes electric bikes for sale and rent plus repair service.","Confirmed e-bike rentals; mountain-bike use should be reviewed if inventory supports trail bikes."
"triaged","","18","Pedego Electric Bikes Reno","http://www.pedegoreno.com/","road_cycling;electric_transport","","medium","The listing/evidence identifies Bikepath E-Bike Rentals/Pedego Electric Bikes Reno as an e-bike rental operator.","Electric bike rentals; road/path cycling use."
"triaged","","19","Black Rock Bicycles","http://www.blackrockbicycles.com/","mountain_biking;road_cycling;electric_transport","","medium","Google/fetched evidence says the shop offers mountain, electric, and road bikes as well as rentals and repairs.","Include all bike categories explicitly named in the evidence."
"triaged","","20","Black Tie Bike Rentals North Tahoe","https://www.blacktiesummer.com/north-tahoe/","mountain_biking;road_cycling;electric_transport","","medium","The Black Tie Summer North Tahoe page is for bike rentals, with North Tahoe delivery/rental service evidence.","Bike rental category mix kept broad for recall."
"triaged","","21","Black Tie Ski Rentals of North Lake Tahoe","https://www.blacktieskis.com/north-tahoe/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=black-tie-ski-rental-of-north-tahoe&utm_content=north-tahoe","snow_sports;mountain_biking;road_cycling;electric_transport;water_sports","","medium","The evidence describes ski and snowboard rental equipment, and Google notes the North Tahoe location also rents e-bikes, kayaks, and paddle boards.","Seasonal summer categories included from listing evidence for recall."
"triaged","","22","BlueZone Sports - Carson City","http://www.bluezonesports.com/","snow_sports;mountain_biking;road_cycling;electric_transport;water_sports","camping","medium","BlueZone's rental page says its stores provide ski, snowboard, snowshoe, bike, kayak, and SUP rentals.","Location-specific inventory may vary; broad BlueZone rental categories kept for Pass B recall."
"triaged","","23","BlueZone Sports - South Lake Tahoe","http://www.bluezonesports.com/","snow_sports;mountain_biking;road_cycling;electric_transport;water_sports","camping","medium","BlueZone's rental page says its stores provide ski, snowboard, snowshoe, bike, kayak, and SUP rentals.","Location-specific inventory may vary; broad BlueZone rental categories kept for Pass B recall."
"triaged","","24","BlueZone Sports - Tahoe City","https://www.bluezonesports.com/","snow_sports;mountain_biking;road_cycling;electric_transport;water_sports","camping","medium","BlueZone's rental page says its stores provide ski, snowboard, snowshoe, bike, kayak, and SUP rentals.","Location-specific inventory may vary; broad BlueZone rental categories kept for Pass B recall."
"triaged","","25","Bobo's Ski & Patio","http://www.bobos.com/","snow_sports","","high","Bobo's lists ski and snowboard season lease packages and an on-site rental department for ski/board services.","Patio furniture sales are out of scope; ski/snowboard rentals are in scope."
"triaged","","26","CV Sports","https://cvsports.biz/","snow_sports","","high","CV Sports advertises ski, snowboard, snowshoe, clothing, and helmet rental packages and has an equipment reservation form.","Winter rental shop."
"triaged","","27","Camp Richardson Marina","https://action-watersports.com/camp-richardson-marina/","water_sports","","high","The Camp Richardson Marina page lists boat rentals, jet ski rentals, and kayak/SUP rentals through Action Watersports.","Confirmed marina water-sports rentals."
"triaged","","28","Camp Richardson Mountain Sports Center","https://camprichardsonresort.com/rentals/","water_sports","snow_sports;mountain_biking;road_cycling","medium","The current rentals page lists beach rentals, including stand-up paddleboards and single/double kayaks with paddles and life jackets.","Google mentions seasonal bicycles and snowshoes; current fetched page only confirmed water rentals."
"triaged","","29","Clearly Tahoe","http://www.clearlytahoe.com/","water_sports;mountain_biking;road_cycling;electric_transport;snow_sports","","high","Clearly Tahoe says it offers paddle-craft rentals, pedal-assist beach cruisers and mountain bikes, analog bikes, and seasonal snowshoe rentals.","Guided tours are separate; rental pages confirm take-away equipment."
"triaged","","30","Clearly Tahoe","https://clearlytahoe.com/incline-village/","water_sports;mountain_biking;road_cycling;electric_transport;snow_sports","","high","Clearly Tahoe rental pages list water rentals, take-and-go rentals, e-bikes, analog bikes, mountain bikes, and seasonal snowshoe rentals.","Location page is tour-heavy, but linked rental pages confirm equipment rentals."
"triaged","","31","Clearly Tahoe","https://bikelaketahoe.com/","mountain_biking;road_cycling;electric_transport","water_sports;snow_sports","medium","The Bike Lake Tahoe page lists bike rentals including pedal-assist mountain bikes, passenger e-bikes, and analog bikes.","This listing is bike-specific; other Clearly Tahoe categories left for review."
"triaged","","32","Clearly Tahoe Kayak Rentals at Sand Harbor","http://www.clearlytahoerentals.com/","water_sports","","high","The Sand Harbor rental evidence describes kayak, canoe, and paddleboard rentals, including clear-bottom kayaks.","Confirmed paddle-craft rental facility."
"triaged","","33","Clearly Tahoe Keys Marina","https://clearlytahoe.com/south-lake-tahoe/","water_sports","mountain_biking;road_cycling;electric_transport;snow_sports","medium","Clearly Tahoe's water and take-and-go rental pages confirm kayak/SUP-style equipment rentals, while this specific marina page is mainly guided-tour oriented.","Confirmed water rentals; broader Clearly Tahoe bike/snow categories left for review on this location."
"triaged","no_rentals→triaged","36","Cook EFoiling","https://www.cookefoiling.com/","water_sports","","high","Homepage headline: 'Electric Hydrofoil Lessons and Rentals on Lake Tahoe and Donner Lake'; advanced users given freedom to ride. Lift eFoil provider.","Patch: recovered from full cache; original run under-read available rental page(s)."
"triaged","no_rentals→triaged","37","CyclePaths BikeShop","http://www.cyclepaths.com/","mountain_biking;electric_transport","road_cycling","high","Dedicated Bike Rentals / Rent-a-Bike pages: 'Daily rentals from Truckee's bike shop' — MTB, eMTB, town e-bikes; Segway e-bikes 'available for test-rides and rental.'","Patch: recovered from full cache; original run under-read available rental page(s)."
"triaged","","38","Day Go Adventures","http://daygoadventures.com/","water_sports","","medium","The operator is described as an appointment-only kayak rental service for exploring the lake, including single and tandem kayaks.","Confirmed kayak rentals."
"triaged","needs_review→triaged","39","Deep Abliss Diveshop","https://www.scubatahoe.com/","water_sports","","high","Gear Rentals page: 'Rental Equipment $99/day Complete Scuba kit (Tank, BCD, Wetsuit, Weights, Regulator...)'. Mobile dive shop.","Patch: recovered from full cache; original run under-read available rental page(s)."
"triaged","","40","Dirt Gypsy Adventures","http://www.dirtgypsyadventures.com/","mountain_biking;road_cycling;electric_transport","","high","The rentals page lists Truckee/North Tahoe bike rentals with mountain, gravel, and electric bikes available to rent.","Guided rides are separate; rentals are confirmed."
"triaged","","42","Donner Lake Marina","http://donnerlakemarina.com/","water_sports","","high","The marina page includes motor boats and paddle sports booking, and Google describes jet ski, kayak, paddleboard, motor boat, and pontoon rentals.","Confirmed Donner Lake water-sports rentals."
"triaged","","43","Donner Lake Water Sports","http://donnerlakewatersports.com/","water_sports","","high","The Donner Lake Marina/Watersports evidence includes motor boats and paddle sports booking and rental contact information.","Same operating rental evidence as Donner Lake Marina."
"triaged","","45","Donner Ski Shop","https://donnerskishop.com/","snow_sports","","high","The site title and page text repeatedly identify ski rental services, and Google lists skis, boots, poles, helmets, pants, and gloves for rent.","Confirmed snow-sports rental shop."
"triaged","","46","E-Bike Hub","http://e-bikehub.bike/","road_cycling;electric_transport","mountain_biking","high","The rentals page lists 2-hour and 4-hour e-bike rentals and a separate page says Rent an E-Bike.","Confirmed e-bike rentals; mountain-bike style uncertain."
"triaged","","47","Tahoe Multisport — East Shore","https://tahoemultisport.com/home-2/","mountain_biking;road_cycling;electric_transport;water_sports","","high","The site lists e-bike, cruiser, kids bike, and hardtail mountain-bike rental rates, and says it can drop off kayaks and SUPs for multi-day bookings.","Confirmed bike and limited water rental delivery."
"triaged","","49","Efoil Tahoe","https://efoiltahoe.com/","water_sports","","medium","The site offers Flitecell battery rentals for customers who bring their own Fliteboard, while its ride program is instruction/full-service oriented.","Rental is eFoil battery gear, not necessarily full board rental."
"triaged","no_rentals→triaged","50","Emerald Bay Bikes","https://www.emeraldbaybikes.com/","road_cycling;mountain_biking","electric_transport","medium","Operator-confirmed bike rental shop on Emerald Bay Rd, South Lake Tahoe (along the paved bike path). Google reviews and third-party sites reference bike rentals; the online booking page was not located, so the specific fleet (cruiser/comfort, mountain, e-bikes) is unconfirmed. Its own site emphasizes a bike-parts store.","Patch: promoted per operator confirmation that they rent bikes (reviews + other sites mention rentals). Categories are the typical Tahoe bike-path fleet; Pass B to verify actual rental inventory and whether e-bikes are offered."
"triaged","","51","Endless Wave Charters","https://www.endlesswavecharters.com/","water_sports;snow_sports;fishing","","medium","Endless Wave Charters https://www.endlesswavecharters.com/ Endless Wave Charters Endless Wave Charters point_of_interest service establishment https://www.endlesswavecharters.com/ Wake Surf Lake Tahoe – Endless Waves | Premier Boat Rentals & Tours Home Services Captained Wakeboarding & Surfing Charters Boat Rentals in Lake Tahoe Guided Tours of Tahoe Tubing About Us Blog CONTACT US CONTACT US Lake Tahoe Boat Rentals","Auto-triaged from positive rental evidence and category terms; review if location-specific inventory matters."
"triaged","","52","Fallen Leaf Lake Store, Cafe and Marina","http://www.fallenleaflodge.com/","water_sports","","medium","Fallen Leaf Lake Store, Cafe and Marina http://www.fallenleaflodge.com/ Fallen Leaf Lake Store, Cafe and Marina General store with groceries, ice cream, souvenirs, and kayak rentals.","Auto-triaged from positive rental evidence and category terms; review if location-specific inventory matters."
"triaged","","53","Floater with a Motor","http://www.floaterwithamotor.com/","water_sports","","medium","Floater with a Motor http://www.floaterwithamotor.com/ Floater with a Motor Floater with a Motor point_of_interest service establishment https://www.floaterwithamotor.com/ Floater With a Motor Pontoon Rental | North Lake Tahoe | United States top of page Home The Boats Pricing Terms and Conditions FAQ Location Availability Calendar Contact Us More Use tab to navigate through the menu items.","Auto-triaged from positive rental evidence and category terms; review if location-specific inventory matters."
